timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,ema_7,ema_25,ema_99
2025-01-18 19:00:00,699.21,705.91,698.8,705.89,10604.29,1737230399999,7451138.55033000,25059,6695.66000000,4706142.69283000,0,,,
2025-01-18 20:00:00,705.88,708.23,702.1,703.53,16004.975,1737233999999,11294705.70268000,30391,9414.92100000,6646348.27858000,0,,,
2025-01-18 21:00:00,703.54,705.38,703.1,703.2,4934.373,1737237599999,3475094.98477000,16341,2483.57500000,1749238.32645000,0,,,
2025-01-18 22:00:00,703.21,706.2,703.21,705.85,5004.643,1737241199999,3528083.05382000,10573,3263.28800000,2299894.09360000,0,,,
2025-01-18 23:00:00,705.85,711.09,705.83,709.52,9049.225,1737244799999,6413800.11636000,21222,5080.90100000,3601168.07779000,0,,,
2025-01-19 00:00:00,709.52,713.72,708.64,711.2,9405.464,1737248399999,6695138.26891000,25239,5369.61700000,3822567.89278000,0,,,
2025-01-19 01:00:00,711.2,713.92,710.9,713.44,10255.15,1737251999999,7305573.80151000,25973,4969.92300000,3540511.80096000,0,708.92658203125,,
2025-01-19 02:00:00,713.43,714.6,710.53,711.35,11409.567,1737255599999,8136939.93935000,21922,3550.55100000,2532679.03937000,0,709.5324365234375,,
2025-01-19 03:00:00,711.35,712.53,709.06,710.08,11458.055,1737259199999,8139824.69277000,24060,5137.38000000,3649655.99115000,0,709.6693273925781,,
2025-01-19 04:00:00,710.09,710.55,706.25,707.77,17860.37,1737262799999,12653300.59936000,58367,6960.09900000,4931169.63309000,0,709.1944955444336,,
2025-01-19 05:00:00,707.77,708.15,704.12,707.14,13207.63,1737266399999,9326848.09365000,37510,5502.29900000,3884840.47440000,0,708.6808716583251,,
2025-01-19 06:00:00,707.15,709.44,705.88,708.18,8614.813,1737269999999,6099558.47885000,27245,4082.51500000,2890533.82499000,0,708.5556537437438,,
2025-01-19 07:00:00,708.17,709.0,704.1,705.1,14505.157,1737273599999,10242229.32211000,37483,6650.57800000,4695927.20224000,0,707.6917403078079,,
2025-01-19 08:00:00,705.1,705.11,691.11,691.46,48187.606,1737277199999,33519190.29588000,91622,21130.83600000,14693233.95913000,0,703.633805230856,,
2025-01-19 09:00:00,691.47,694.42,685.08,694.09,92541.634,1737280799999,63758628.31007000,155213,46174.93200000,31802943.21436000,0,701.247853923142,,
2025-01-19 10:00:00,694.09,694.09,687.69,688.83,26260.385,1737284399999,18128404.49309000,59907,12870.25900000,8883723.88802000,0,698.1433904423565,,
2025-01-19 11:00:00,688.83,690.27,681.33,683.05,38685.746,1737287999999,26538718.81008000,75928,14480.11400000,9933327.63904000,0,694.3700428317673,,
2025-01-19 12:00:00,683.05,692.18,682.23,691.49,23307.689,1737291599999,16023281.68160000,62678,12775.49500000,8783366.34625000,0,693.6500321238254,,
2025-01-19 13:00:00,691.5,696.91,690.53,696.91,23741.39,1737295199999,16489311.03544000,52561,13866.66900000,9634548.82507000,0,694.465024092869,,
2025-01-19 14:00:00,696.91,700.68,695.66,698.55,51834.665,1737298799999,36207938.76208000,103388,27800.74200000,19421580.35311000,0,695.4862680696517,,
2025-01-19 15:00:00,698.55,699.61,694.1,697.88,34651.985,1737302399999,24161311.76463000,54546,13792.81500000,9613379.70289000,0,696.0847010522389,,
2025-01-19 16:00:00,697.88,698.96,695.99,698.5,12620.092,1737305999999,8803803.73153000,28949,7228.43000000,5042857.66378000,0,696.6885257891792,,
2025-01-19 17:00:00,698.49,702.41,697.07,702.4,12243.211,1737309599999,8565024.67368000,33893,7109.15700000,4975137.71485000,0,698.1163943418844,,
2025-01-19 18:00:00,702.4,706.67,701.67,706.41,21940.797,1737313199999,15459461.38477000,41819,11986.70300000,8446889.22692000,0,700.1897957564133,,
2025-01-19 19:00:00,706.4,707.41,704.6,707.31,7551.026,1737316799999,5332937.03294000,28417,3236.05400000,2285690.68670000,0,701.96984681731,701.5714774133176,
2025-01-19 20:00:00,707.31,708.0,702.23,703.61,11329.384,1737320399999,7990572.29740000,39043,4343.71400000,3064411.35636000,0,702.3798851129825,701.7282868430625,
2025-01-19 21:00:00,703.62,704.0,685.4,686.12,73278.987,1737323999999,50821458.07479000,164226,31738.64500000,22016329.88026000,0,698.3149138347369,700.5276493935962,
2025-01-19 22:00:00,686.13,693.39,680.0,689.74,67788.193,1737327599999,46526228.75410000,163515,32083.79700000,22028633.41612000,0,696.1711853760526,699.6978302094735,
2025-01-19 23:00:00,689.74,689.74,676.0,683.19,70306.302,1737331199999,47900874.47830000,210234,33533.14100000,22846975.84063000,0,692.9258890320394,698.4279971164372,
2025-01-20 00:00:00,683.2,685.76,674.3,676.16,59605.445,1737334799999,40527321.45516000,185728,27998.19000000,19041188.29727000,0,688.7344167740296,696.7150742613267,
2025-01-20 01:00:00,676.17,681.36,674.84,677.45,40037.329,1737338399999,27128405.59730000,154180,19364.92800000,13123474.87219000,0,685.9133125805222,695.2331454719938,
2025-01-20 02:00:00,677.45,689.4,676.8,683.95,26585.286,1737341999999,18187053.67221000,88428,13102.77600000,8961453.83485000,0,685.4224844353917,694.3652112049174,
2025-01-20 03:00:00,683.94,687.76,681.79,686.7,18326.094,1737345599999,12556173.69302000,61082,9105.75100000,6240420.98301000,0,685.7418633265438,693.7755795737698,
2025-01-20 04:00:00,686.7,690.16,684.7,688.77,9939.878,1737349199999,6830832.45340000,44457,5747.03800000,3949256.39360000,0,686.4988974949079,693.3905349911722,
2025-01-20 05:00:00,688.76,692.08,688.0,689.58,16154.733,1737352799999,11146692.95958000,58479,7513.47400000,5185308.58564000,0,687.2691731211809,693.0974169149283,
2025-01-20 06:00:00,689.57,705.7,688.73,703.85,44725.383,1737356399999,31290457.78938000,99680,26937.47400000,18833900.29231000,0,691.4143798408857,693.9245386907031,
2025-01-20 07:00:00,703.85,709.38,695.99,698.68,74774.529,1737359999999,52596564.51677000,179488,35461.74900000,24947183.63294000,0,693.2307848806641,694.2903434068029,
2025-01-20 08:00:00,698.68,701.1,698.14,700.18,17293.569,1737363599999,12101152.99709000,51239,7980.47800000,5584814.24362000,0,694.9680886604981,694.743393913972,
2025-01-20 09:00:00,700.18,701.78,695.76,697.15,15408.895,1737367199999,10766081.10024000,48901,7050.75300000,4927020.32459000,0,695.5135664953735,694.9285174590511,
2025-01-20 10:00:00,697.16,698.76,694.23,695.75,13060.509,1737370799999,9099203.04041000,44757,6523.54200000,4546223.89632000,0,695.5726748715301,694.9917084237395,
2025-01-20 11:00:00,695.75,698.13,693.8,698.08,13230.971,1737374399999,9202564.38954000,46776,7350.10600000,5113636.23426000,0,696.1995061536476,695.2292693142211,
2025-01-20 12:00:00,698.08,698.31,686.0,690.48,35945.93,1737377999999,24824970.36778000,112948,18037.46200000,12454043.75833000,0,694.7696296152357,694.8639409054349,
2025-01-20 13:00:00,690.48,700.0,689.29,692.97,35510.709,1737381599999,24647364.98195000,86252,21816.06300000,15147930.99113000,0,694.3197222114268,694.7182531434784,
2025-01-20 14:00:00,692.96,694.43,688.99,690.83,30906.828,1737385199999,21362875.72573000,66097,15549.43300000,10748448.98124000,0,693.4472916585701,694.4191567478263,
2025-01-20 15:00:00,690.82,692.59,687.45,688.3,16797.281,1737388799999,11592318.70574000,79005,8213.67600000,5669741.14183000,0,692.1604687439276,693.9484523826089,
2025-01-20 16:00:00,688.31,691.29,681.63,691.25,24226.018,1737392399999,16627062.17861000,93097,11644.97400000,7997969.65649000,0,691.9328515579457,693.7408791224083,
2025-01-20 17:00:00,691.25,691.91,671.0,679.29,96000.363,1737395999999,65345140.76763000,260954,43938.58200000,29932963.77535000,0,688.7721386684593,692.6292730360692,
2025-01-20 18:00:00,679.29,685.76,678.85,684.82,21491.65,1737399599999,14674993.12995000,73846,12324.42400000,8414262.05662000,0,687.7841040013445,692.0285597256023,
2025-01-20 19:00:00,684.82,686.55,682.01,685.73,13093.226,1737403199999,8959527.68643000,53415,7384.40100000,5054879.17393000,0,687.2705780010084,691.5440551313253,
2025-01-20 20:00:00,685.72,685.88,681.3,683.05,10611.175,1737406799999,7252570.67842000,40411,4682.88300000,3201232.42274000,0,686.2154335007563,690.8906662750695,
2025-01-20 21:00:00,683.04,684.38,679.28,679.34,9739.246,1737410399999,6642113.70832000,34027,3700.34600000,2525287.83761000,0,684.4965751255672,690.0021534846795,
2025-01-20 22:00:00,679.35,684.7,676.36,683.76,13885.217,1737413999999,9449999.98296000,41140,8524.26000000,5802841.83807000,0,684.3124313441754,689.5219878320119,
2025-01-20 23:00:00,683.77,685.76,681.05,682.51,10886.223,1737417599999,7442328.65689000,45372,5450.05800000,3726799.86752000,0,683.8618235081315,688.9826041526264,
2025-01-21 00:00:00,682.51,683.65,675.56,675.84,18354.727,1737421199999,12484159.05033000,76388,7946.76000000,5408616.87857000,0,681.8563676310987,687.9716346024245,
2025-01-21 01:00:00,675.84,682.28,675.01,679.87,24314.718,1737424799999,16505883.64092000,93020,13817.09500000,9380682.17292000,0,681.359775723324,687.3484319406996,
2025-01-21 02:00:00,679.87,682.45,677.8,682.09,14383.838,1737428399999,9787383.39546000,66358,7111.07600000,4839674.87285000,0,681.542331792493,686.9439371760304,
2025-01-21 03:00:00,682.1,684.83,680.73,682.39,9544.478,1737431999999,6516773.72320000,43062,4233.94500000,2891253.80497000,0,681.7542488443697,686.5936343163357,
